phase,rating_attribute,rating_question,rating_question_details,rating_low,rating_high,stim_file,age,gender,pre_rating_scales_loop.thisRepN,pre_rating_scales_loop.thisTrialN,pre_rating_scales_loop.thisN,pre_rating_scales_loop.thisIndex,pre_rating_stims_loop.thisRepN,pre_rating_stims_loop.thisTrialN,pre_rating_stims_loop.thisN,pre_rating_stims_loop.thisIndex,pre_rating_scale.response,pre_rating_scale.rt,participant,participant_gender,skip_practice,skip_ratings,date,expName,frameRate,
rating,valence,Hoe ervaar jij dit gezicht?,Je beoordeelt dit op een schaal van 'Zeer onprettig' tot 'Zeer prettig'.,Zeer onprettig,Zeer prettig,stims\neutral_stims\id-1366_gender-F_age-24.png,24,F,0,0,0,1,0,43,43,42,2,2.084,01,F,False,False,2018_Oct_17_1257,pilot_RL,119.8881957439051,
rating,valence,Hoe ervaar jij dit gezicht?,Je beoordeelt dit op een schaal van 'Zeer onprettig' tot 'Zeer prettig'.,Zeer onprettig,Zeer prettig,stims\neutral_stims\id-1315_gender-M_age-16.png,16,M,0,0,0,1,0,44,44,24,-2,4.943,01,F,False,False,2018_Oct_17_1257,pilot_RL,119.8881957439051,
rating,valence,Hoe ervaar jij dit gezicht?,Je beoordeelt dit op een schaal van 'Zeer onprettig' tot 'Zeer prettig'.,Zeer onprettig,Zeer prettig,stims\neutral_stims\id-1307_gender-F_age-22.png,22,F,0,0,0,1,0,45,45,20,1,4.068,01,F,False,False,2018_Oct_17_1257,pilot_RL,119.8881957439051,
rating,valence,Hoe ervaar jij dit gezicht?,Je beoordeelt dit op een schaal van 'Zeer onprettig' tot 'Zeer prettig'.,Zeer onprettig,Zeer prettig,stims\neutral_stims\id-1378_gender-F_age-19.png,19,F,0,0,0,1,0,46,46,48,1,2.376,01,F,False,False,2018_Oct_17_1257,pilot_RL,119.8881957439051,
rating,valence,Hoe ervaar jij dit gezicht?,Je beoordeelt dit op een schaal van 'Zeer onprettig' tot 'Zeer prettig'.,Zeer onprettig,Zeer prettig,stims\neutral_stims\id-1361_gender-F_age-19.png,19,F,0,0,0,1,0,47,47,39,1,3.384,01,F,False,False,2018_Oct_17_1257,pilot_RL,119.8881957439051,
rating,valence,Hoe ervaar jij dit gezicht?,Je beoordeelt dit op een schaal van 'Zeer onprettig' tot 'Zeer prettig'.,Zeer onprettig,Zeer prettig,stims\neutral_stims\id-1266_gender-M_age-21.png,21,M,0,0,0,1,0,48,48,2,0,2.801,01,F,False,False,2018_Oct_17_1257,pilot_RL,119.8881957439051,
rating,valence,Hoe ervaar jij dit gezicht?,Je beoordeelt dit op een schaal van 'Zeer onprettig' tot 'Zeer prettig'.,Zeer onprettig,Zeer prettig,stims\neutral_stims\id-1356_gender-F_age-20.png,20,F,0,0,0,1,0,49,49,36,1,1.885,01,F,False,False,2018_Oct_17_1257,pilot_RL,119.8881957439051,
rating,valence,Hoe ervaar jij dit gezicht?,Je beoordeelt dit op een schaal van 'Zeer onprettig' tot 'Zeer prettig'.,Zeer onprettig,Zeer prettig,,,,0,0,0,1,,,,,,,01,F,False,False,2018_Oct_17_1257,pilot_RL,119.8881957439051,
rating,arousal,Hoe geactiveerd maakt dit gezicht je?,Je beoordeelt dit op een schaal van 'Helemaal niet geactiveerd' tot 'Zeer geactiveerd'. Met 'geactiveerd' bedoelen we dat het het gezicht je alert/energiek/gespannen doet voelen. Met 'niet geactiveerd' bedoelen we dat het gezicht je kalm/ontspannen/rustig doet voelen.,Helemaal niet geactiveerd,Zeer geactiveerd,stims\neutral_stims\id-1358_gender-F_age-32.png,32,F,0,1,1,0,0,0,0,37,0,1.976,01,F,False,False,2018_Oct_17_1257,pilot_RL,119.8881957439051,
rating,arousal,Hoe geactiveerd maakt dit gezicht je?,Je beoordeelt dit op een schaal van 'Helemaal niet geactiveerd' tot 'Zeer geactiveerd'. Met 'geactiveerd' bedoelen we dat het het gezicht je alert/energiek/gespannen doet voelen. Met 'niet geactiveerd' bedoelen we dat het gezicht je kalm/ontspannen/rustig doet voelen.,Helemaal niet geactiveerd,Zeer geactiveerd,stims\neutral_stims\id-1378_gender-F_age-19.png,19,F,0,1,1,0,0,1,1,48,-2,16.961,01,F,False,False,2018_Oct_17_1257,pilot_RL,119.8881957439051,
rating,arousal,Hoe geactiveerd maakt dit gezicht je?,Je beoordeelt dit op een schaal van 'Helemaal niet geactiveerd' tot 'Zeer geactiveerd'. Met 'geactiveerd' bedoelen we dat het het gezicht je alert/energiek/gespannen doet voelen. Met 'niet geactiveerd' bedoelen we dat het gezicht je kalm/ontspannen/rustig doet voelen.,Helemaal niet geactiveerd,Zeer geactiveerd,stims\neutral_stims\id-1367_gender-M_age-20.png,20,M,0,1,1,0,0,2,2,43,-3,6.443,01,F,False,False,2018_Oct_17_1257,pilot_RL,119.8881957439051,
rating,arousal,Hoe geactiveerd maakt dit gezicht je?,Je beoordeelt dit op een schaal van 'Helemaal niet geactiveerd' tot 'Zeer geactiveerd'. Met 'geactiveerd' bedoelen we dat het het gezicht je alert/energiek/gespannen doet voelen. Met 'niet geactiveerd' bedoelen we dat het gezicht je kalm/ontspannen/rustig doet voelen.,Helemaal niet geactiveerd,Zeer geactiveerd,stims\neutral_stims\id-1274_gender-F_age-33.png,33,F,0,1,1,0,0,3,3,6,-4,26.521,01,F,False,False,2018_Oct_17_1257,pilot_RL,119.8881957439051,
rating,arousal,Hoe geactiveerd maakt dit gezicht je?,Je beoordeelt dit op een schaal van 'Helemaal niet geactiveerd' tot 'Zeer geactiveerd'. Met 'geactiveerd' bedoelen we dat het het gezicht je alert/energiek/gespannen doet voelen. Met 'niet geactiveerd' bedoelen we dat het gezicht je kalm/ontspannen/rustig doet voelen.,Helemaal niet geactiveerd,Zeer geactiveerd,stims\neutral_stims\id-1266_gender-M_age-21.png,21,M,0,1,1,0,0,4,4,2,-4,3.118,01,F,False,False,2018_Oct_17_1257,pilot_RL,119.8881957439051,
rating,arousal,Hoe geactiveerd maakt dit gezicht je?,Je beoordeelt dit op een schaal van 'Helemaal niet geactiveerd' tot 'Zeer geactiveerd'. Met 'geactiveerd' bedoelen we dat het het gezicht je alert/energiek/gespannen doet voelen. Met 'niet geactiveerd' bedoelen we dat het gezicht je kalm/ontspannen/rustig doet voelen.,Helemaal niet geactiveerd,Zeer geactiveerd,stims\neutral_stims\id-1289_gender-F_age-20.png,20,F,0,1,1,0,0,5,5,10,-4,3.46,01,F,False,False,2018_Oct_17_1257,pilot_RL,119.8881957439051,
rating,arousal,Hoe geactiveerd maakt dit gezicht je?,Je beoordeelt dit op een schaal van 'Helemaal niet geactiveerd' tot 'Zeer geactiveerd'. Met 'geactiveerd' bedoelen we dat het het gezicht je alert/energiek/gespannen doet voelen. Met 'niet geactiveerd' bedoelen we dat het gezicht je kalm/ontspannen/rustig doet voelen.,Helemaal niet geactiveerd,Zeer geactiveerd,stims\neutral_stims\id-1362_gender-F_age-24.png,24,F,0,1,1,0,0,6,6,40,-4,1.818,01,F,False,False,2018_Oct_17_1257,pilot_RL,119.8881957439051,
